"ID","Player","Team","Position","RkOv","Status","Age","Salary","Contract","FPts","FP/G","%D","ADP","Ros","+/-"
"*01dcc*","Cameron Gaunce","(N/A)","D","2979","FA","35","100","Rachat","0","0","0","-","0%","0%"
"*003sx*","Gabe Gauthier","(N/A)","F","2983","FA","41","100","Rachat","0","0","0","-","0%","0%"
"*024j3*","Sergei Gayduchenko","(N/A)","G","2993","FA","36","100","Rachat","0","0","0","-","0%","0%"
"*03aqy*","Guillaume Gelinas","(N/A)","D","3003","FA","32","100","Rachat","0","0","0","-","0%","0%"
"*03ebd*","Miles Gendron","COL","D","3008","FA","29","100","Rachat","0","0","0","-","0%","0%"
"*005h0*","Nathan Gerbe","(N/A)","F","3022","FA","38","100","Rachat","0","0","0","-","0%","0%"
"*03ecs*","Shane Gersich","(N/A)","F","3026","FA","29","100","Rachat","0","0","0","-","0%","0%"
"*06uvq*","Dawson Gerwing","(N/A)","F","3029","FA","19","100","Rachat","0","0","0","-","0%","0%"
"*06ce5*","Matteo Giampa","(N/A)","F","3031","FA","22","100","Rachat","0","0","0","-","0%","0%"
"*025re*","Brian Gibbons","(N/A)","F","3033","FA","37","100","Rachat","0","0","0","-","0%","0%"
"*05xdd*","Carson Gicewicz","NSH","F","3040","FA","28","100","Rachat","0","0","0","-","0%","0%"
"*003q8*","Tom Gilbert","(N/A)","D","3046","FA","42","100","Rachat","0","0","0","-","0%","0%"
"*04f8e*","Brady Gilmour","DET","F","3060","FA","26","100","Rachat","0","0","0","-","0%","0%"
"*031uy*","John Gilmour","(N/A)","D","3061","FA","32","100","Rachat","0","0","0","-","0%","0%"
"*05nfo*","Zach Giuttari","NYR","D","3071","FA","29","100","Rachat","0","0","0","-","0%","0%"
"*0041o*","Jeff Glass","(N/A)","G","3074","FA","40","100","Rachat","0","0","0","-","0%","0%"
"*0046c*","Marcel Goc","(N/A)","F","3089","FA","42","100","Rachat","0","0","0","-","0%","0%"
"*01gjo*","Cody Goloubef","MTL","D","3107","FA","36","100","Rachat","0","0","0","-","0%","0%"
"*072fp*","Sergei Goncharuk","(N/A)","F","3112","FA","26","100","Rachat","0","0","-","-","0%","0%"
"*06l27*","Isaac Gordon","(N/A)","F","3124","FA","21","100","Rachat","0","0","0","-","0%","0%"
"*01zre*","Brandon Gormley","(N/A)","D","3127","FA","33","100","Rachat","0","0","0","-","0%","0%"
"*0598j*","Max Gottlieb","LAK","D","3132","FA","30","100","Rachat","0","0","0","-","0%","0%"
"*031ow*","Tyrell Goulbourne","OTT","F","3134","FA","31","100","Rachat","0","0","0","-","0%","0%"
"*05o6p*","Brock Gould","(N/A)","G","3135","FA","24","100","Rachat","0","0","0","-","0%","0%"
"*065jk*","Jarrod Gourley","(N/A)","D","3140","FA","26","100","Rachat","0","0","0","-","0%","0%"
"*004b1*","Michael Grabner","(N/A)","F","3144","FA","38","100","Rachat","0","0","0","-","0%","0%"
"*02oaj*","Jesse Graham","(N/A)","D","3152","FA","31","100","Rachat","0","0","0","-","0%","0%"
"*048kr*","Mark Grametbauer","TBL","G","3156","FA","27","100","Rachat","0","0","0","-","0%","0%"
"*0042u*","Triston Grant","DET","F","3167","FA","41","100","Rachat","0","0","0","-","0%","0%"
"*01n7z*","Max Gratchev","NYI","F","3170","FA","35","100","Rachat","0","0","0","-","0%","0%"
"*004cb*","Mike Green","(N/A)","D","3184","FA","40","100","Rachat","0","0","0","-","0%","0%"
"*0243i*","Jason Gregoire","(N/A)","F","3192","FA","36","100","Rachat","0","0","0","-","0%","0%"
"*0046d*","Thomas Greiss","(N/A)","G","3195","FA","39","100","Rachat","0","0","0","-","0%","0%"
"*04xce*","Jake Gricius","SJS","F","3198","FA","26","100","Rachat","0","0","0","-","0%","0%"
"*02b78*","Mikhail Grigorenko","(N/A)","F","3204","FA","31","100","Rachat","0","0","0","-","0%","0%"
"*03rev*","Ryan Gropp","(N/A)","F","3213","FA","29","100","Rachat","0","0","0","-","0%","0%"
